id	report_type	report_text	activity	hazard	barrier	barrier_status	barrier_failure	sif_potential	sif_level	life_saving_rule	source_type
SYN-01045	UNSAFE_CONDITION	working at height near the plant entrance, the crew lead had unclipped fully to reposition and did not reconnect for several minutes, on a Saturday overtime shift. Supervisor was notified on the spot.	Work at Height	Fall Hazard	Fall Protection	FAILED	not used	TRUE	HIGH	Working at Height	SYNTHETIC
SYN-01046	NEAR_MISS	Fall protection was correctly used at the fabrication shop: two workers lost footing at 20ft but the lanyard caught immediately as designed.	Work at Height	Fall Hazard	Fall Protection	EFFECTIVE		FALSE	LOW	Working at Height	SYNTHETIC
SYN-01047	UNSAFE_CONDITION	a subcontractor crew climbed onto a running conveyor at the water treatment area to clear a jammed item instead of stopping and locking out first. Work was stopped immediately.	Maintenance	Moving Machinery	Energy Isolation	FAILED	bypassed	TRUE	HIGH	Energy Isolation	SYNTHETIC
SYN-01048	UNSAFE_CONDITION	a shift worker was found working at 4m elevation without a harness clipped to any anchor point. Work was stopped immediately.	Work at Height	Fall Hazard	Fall Protection	FAILED	not used	TRUE	HIGH	Working at Height	SYNTHETIC
SYN-01049	NEAR_MISS	a new hire was seen using a phone while operating a forklift near Dock 4, nearly striking a pedestrian at a blind corner.	Driving	Line of Fire	Line of Fire	FAILED	bypassed	TRUE	MEDIUM	Line of Fire	SYNTHETIC
SYN-01050	UNSAFE_CONDITION	a contractor noted cracked, uneven pavement near the north tank farm that has caused several near-stumbles.	Operations	Slip/Trip		UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01051	UNSAFE_CONDITION	Oil residue on the walking surface near the rail siding caused the crew lead to slip slightly, no injury resulted. No injury occurred.	Operations	Slip/Trip		UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01052	UNSAFE_CONDITION	an electrician tripped over a garden hose left across the walkway near the parking structure, a minor bruise reported.	Operations	Slip/Trip		UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01053	UNSAFE_CONDITION	a new hire was using a fall arrest lanyard with a visibly worn stitch pattern while working at 20ft near Building 7.	Work at Height	Fall Hazard	Fall Protection	FAILED	expired	TRUE	MEDIUM	Working at Height	SYNTHETIC
SYN-01054	UNSAFE_CONDITION	Water fountain leaking near the tank farm, creating a small puddle on the tile floor. Area has since been addressed.	Operations			UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01055	UNSAFE_CONDITION	a new hire used a sling rated below the load weight to lift a 1.5-ton beam at the substation; the sling began fraying mid-lift.	Lifting	Suspended Load	Safe Mechanical Lifting	FAILED	not performed	TRUE	HIGH	Safe Mechanical Lifting	SYNTHETIC
SYN-01056	UNSAFE_CONDITION	Isolation on the hydraulic press at the admin block was not confirmed between shifts before a rigger placed hands inside the die area. Supervisor was notified on the spot.	Maintenance	Stored Energy	LOTO	FAILED	not verified	TRUE	MEDIUM	Energy Isolation	SYNTHETIC
SYN-01057	UNSAFE_CONDITION	minor cut sustained by a new hire while clearing a paper jam at the compressor shed, treated with basic first aid.	Operations			UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01058	UNSAFE_CONDITION	Cutting was carried out near the south yard with no fire watch present and combustible material stacked less than a meter away. Supervisor was notified on the spot.	Hot Work	Fire	Fire Watch	FAILED	not performed	TRUE	HIGH	Hot Work	SYNTHETIC
SYN-01059	UNSAFE_CONDITION	Two riggers positioned themselves directly under a 1.5-ton suspended load at the field office to adjust the sling angle instead of using tag lines. Area has since been addressed.	Lifting	Suspended Load	Line of Fire	FAILED	bypassed	TRUE	MEDIUM	Line of Fire	SYNTHETIC
SYN-01060	UNSAFE_CONDITION	Uneven pavement outside the entrance at Unit 3 has become a repeated stumbling point for staff. Work was stopped immediately.	Operations	Slip/Trip		UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01061	NEAR_MISS	All rigging was inspected and correctly rated for the 500kg load prior to the lift at Building 12; tag line controlled load swing effectively in windy conditions.	Lifting	Suspended Load	Safe Mechanical Lifting	EFFECTIVE		FALSE	LOW	Safe Mechanical Lifting	SYNTHETIC
SYN-01062	NEAR_MISS	Driver stopped fully at the the rail siding intersection despite obscured signage, avoiding a collision with an oncoming truck.	Driving	Moving Machinery	Line of Fire	EFFECTIVE		FALSE	LOW	Line of Fire	SYNTHETIC
SYN-01063	UNSAFE_CONDITION	two workers used a sling rated below the load weight to lift a 1,200kg beam at the admin block; the sling began fraying mid-lift.	Lifting	Suspended Load	Safe Mechanical Lifting	FAILED	not performed	TRUE	HIGH	Safe Mechanical Lifting	SYNTHETIC
SYN-01064	NEAR_MISS	Confined space entry at Building 7 followed the complete permit process; attendant outside noticed a maintenance mechanic feeling lightheaded and initiated evacuation per the rescue plan. This has been flagged to the site HSE team.	Confined Space Work	Toxic Atmosphere	Gas Testing	EFFECTIVE		FALSE	LOW	Confined Space	SYNTHETIC
SYN-01065	UNSAFE_CONDITION	a rigger noticed a leaking fixture near the site pooling water on the floor.	Operations			UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01066	UNSAFE_CONDITION	Two riggers positioned themselves directly under a 3,000lb suspended load at the pipe rack to adjust the sling angle instead of using tag lines.	Lifting	Suspended Load	Line of Fire	FAILED	bypassed	TRUE	MEDIUM	Line of Fire	SYNTHETIC
SYN-01067	UNSAFE_CONDITION	a subcontractor crew worked on a panel believed de-energized at Building 7 without testing with a meter first and received a minor shock touching the bus bar.	Electrical Work	Electrical Energy	Energy Isolation	FAILED	not verified	TRUE	HIGH	Energy Isolation	SYNTHETIC
SYN-01068	UNSAFE_CONDITION	no harness in use while a shift worker worked 4m off the deck at the parking structure, lanyard was left hanging unused. Corrective action has been requested.	Work at Height	Fall Hazard	Fall Protection	FAILED	not used	TRUE	HIGH	Working at Height	SYNTHETIC
SYN-01069	UNSAFE_CONDITION	cutting was carried out near the pipe rack with no fire watch present and combustible material stacked less than a meter away.	Hot Work	Fire	Fire Watch	FAILED	not performed	TRUE	HIGH	Hot Work	SYNTHETIC
SYN-01070	UNSAFE_CONDITION	a rigger flagged a cracked windshield on a site vehicle at the admin block during the daily pre-trip check.	Operations			UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01071	UNSAFE_CONDITION	Inspection tag on the harness used by the crew lead at the field office had expired three months ago and was still in service at 15ft.	Work at Height	Fall Hazard	Fall Protection	FAILED	expired	TRUE	MEDIUM	Working at Height	SYNTHETIC
SYN-01072	UNSAFE_CONDITION	a subcontractor crew racked in a breaker at Building 7 believing downstream equipment was isolated; no LOTO tags or locks had been applied by the previous crew.	Electrical Work	Electrical Energy	Energy Isolation	FAILED	not verified	TRUE	HIGH	Energy Isolation	SYNTHETIC
SYN-01073	UNSAFE_CONDITION	Entry into the confined space at the workshop occurred with no atmospheric monitoring in place; a coworker noticed an operator climbing out gasping for air. Corrective action has been requested.	Confined Space Work	Toxic Atmosphere	Gas Testing	FAILED	not performed	TRUE	HIGH	Confined Space	SYNTHETIC
SYN-01074	NEAR_MISS	Utility locate and x-ray scan were performed on the wall at the utility yard before drilling; a live conduit was identified and the drilling location adjusted. This has been flagged to the site HSE team.	Electrical Work	Electrical Energy	Energy Isolation	EFFECTIVE		FALSE	LOW	Energy Isolation	SYNTHETIC
SYN-01075	UNSAFE_CONDITION	operator used a magnet to bypass the press brake interlock at Unit 3, cycling parts faster with hands near the point of operation.	Maintenance	Moving Machinery	Energy Isolation	FAILED	bypassed	TRUE	HIGH	Energy Isolation	SYNTHETIC
SYN-01076	UNSAFE_CONDITION	spilled hydraulic fluid on the shop floor near the field office; a maintenance mechanic almost slipped but caught the railing in time.	Operations	Slip/Trip		UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01077	UNSAFE_CONDITION	Gas test was performed at the entry point but never re-verified after a rigger moved deeper into the vessel at the site. Area has since been addressed.	Confined Space Work	Toxic Atmosphere	Gas Testing	FAILED	not verified	TRUE	MEDIUM	Confined Space	SYNTHETIC
SYN-01078	UNSAFE_CONDITION	Small oil leak noticed under the generator at the site, no spill kit available nearby.	Operations			UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01079	UNSAFE_CONDITION	Uneven pavement outside the entrance at the warehouse mezzanine has become a repeated stumbling point for staff. Area has since been addressed.	Operations	Slip/Trip		UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01080	UNSAFE_CONDITION	a maintenance mechanic was using a fall arrest lanyard with a visibly worn stitch pattern while working at 5 stories near the maintenance bay.	Work at Height	Fall Hazard	Fall Protection	FAILED	expired	TRUE	MEDIUM	Working at Height	SYNTHETIC
SYN-01081	UNSAFE_CONDITION	Gas test was performed at the entry point but never re-verified after an electrician moved deeper into the vessel at the rail siding.	Confined Space Work	Toxic Atmosphere	Gas Testing	FAILED	not verified	TRUE	MEDIUM	Confined Space	SYNTHETIC
SYN-01082	UNSAFE_CONDITION	a shift worker noticed a leaking fixture near the field office pooling water on the floor.	Operations			UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01083	NEAR_MISS	All rigging was inspected and correctly rated for the one-ton load prior to the lift at the substation; tag line controlled load swing effectively in windy conditions.	Lifting	Suspended Load	Safe Mechanical Lifting	EFFECTIVE		FALSE	LOW	Safe Mechanical Lifting	SYNTHETIC
SYN-01084	UNSAFE_CONDITION	Permit for tank entry at Unit 3 was signed but no continuous atmospheric monitoring was actually running once a maintenance mechanic was inside.	Confined Space Work	Toxic Atmosphere	Gas Testing	FAILED	not verified	TRUE	MEDIUM	Confined Space	SYNTHETIC
SYN-01085	UNSAFE_CONDITION	a subcontractor crew climbed onto a running conveyor at Line 2 to clear a jammed item instead of stopping and locking out first.	Maintenance	Moving Machinery	Energy Isolation	FAILED	bypassed	TRUE	HIGH	Energy Isolation	SYNTHETIC
SYN-01086	NEAR_MISS	Excavator swing radius at Building 7 was barricaded and a spotter maintained visual contact with all ground personnel throughout digging. Supervisor was notified on the spot.	Excavation	Engulfment	Shoring	EFFECTIVE		FALSE	LOW	Line of Fire	SYNTHETIC
SYN-01087	UNSAFE_CONDITION	an operator entered a vessel at the tank farm to retrieve a tool without requesting gas testing or a permit, toward the end of the shift.	Confined Space Work	Toxic Atmosphere	Gas Testing	FAILED	not performed	TRUE	HIGH	Confined Space	SYNTHETIC
SYN-01088	UNSAFE_CONDITION	a maintenance mechanic racked in a breaker at the machine shop believing downstream equipment was isolated; no LOTO tags or locks had been applied by the previous crew. This has been flagged to the site HSE team.	Electrical Work	Electrical Energy	Energy Isolation	FAILED	not verified	TRUE	HIGH	Energy Isolation	SYNTHETIC
SYN-01089	UNSAFE_CONDITION	a supervisor was seen using a phone while operating a forklift near the tank farm, nearly striking a pedestrian at a blind corner. Area has since been addressed.	Driving	Line of Fire	Line of Fire	FAILED	bypassed	TRUE	MEDIUM	Line of Fire	SYNTHETIC
SYN-01090	UNSAFE_CONDITION	a coworker noticed a leaking fixture near the water treatment area pooling water on the floor. No injury occurred.	Operations			UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01091	UNSAFE_CONDITION	a contractor worked on a panel believed de-energized at the machine shop without testing with a meter first and received a minor shock touching the bus bar.	Electrical Work	Electrical Energy	Energy Isolation	FAILED	not verified	TRUE	HIGH	Energy Isolation	SYNTHETIC
SYN-01092	UNSAFE_CONDITION	operator used a magnet to bypass the press brake interlock at Dock 4, cycling parts faster with hands near the point of operation.	Maintenance	Moving Machinery	Energy Isolation	FAILED	bypassed	TRUE	HIGH	Energy Isolation	SYNTHETIC
SYN-01093	UNSAFE_CONDITION	Working at height near Unit 3, a technician had unclipped fully to reposition and did not reconnect for several minutes.	Work at Height	Fall Hazard	Fall Protection	FAILED	not used	TRUE	HIGH	Working at Height	SYNTHETIC
SYN-01094	UNSAFE_CONDITION	a technician reported a corroded, wobbly step on the site trailer at the pipe rack.	Operations	Slip/Trip		UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01095	UNSAFE_CONDITION	a maintenance mechanic climbed into the tank at the field office to check for residue without any pre-entry gas test, relying only on visual judgment. No injury occurred.	Confined Space Work	Toxic Atmosphere	Gas Testing	FAILED	not performed	TRUE	HIGH	Confined Space	SYNTHETIC
SYN-01096	NEAR_MISS	Isolation valve closure was verified with a positive pressure test before hot work began on the pipeline at the fabrication shop; no gas ingress occurred. Supervisor was notified on the spot.	Hot Work	Fire	Fire Watch	EFFECTIVE		FALSE	LOW	Hot Work	SYNTHETIC
SYN-01097	UNSAFE_CONDITION	Oil residue on the walking surface near the utility yard caused an electrician to slip slightly, no injury resulted. Supervisor was notified on the spot.	Operations	Slip/Trip		UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01098	NEAR_MISS	Driver stopped fully at the the maintenance bay intersection despite obscured signage, avoiding a collision with an oncoming truck.	Driving	Moving Machinery	Line of Fire	EFFECTIVE		FALSE	LOW	Line of Fire	SYNTHETIC
SYN-01099	UNSAFE_CONDITION	Working at height near the site, the crew lead had unclipped fully to reposition and did not reconnect for several minutes.	Work at Height	Fall Hazard	Fall Protection	FAILED	not used	TRUE	HIGH	Working at Height	SYNTHETIC
SYN-01100	UNSAFE_CONDITION	a technician was using a fall arrest lanyard with a visibly worn stitch pattern while working at 15ft near Building 7.	Work at Height	Fall Hazard	Fall Protection	FAILED	expired	TRUE	MEDIUM	Working at Height	SYNTHETIC
SYN-01101	UNSAFE_CONDITION	a maintenance mechanic noticed a pallet jack veering due to a damaged wheel at the south yard and pulled it from service.	Operations			UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01102	UNSAFE_CONDITION	a technician bypassed the machine guard interlock at the tank farm to clear a jam while the conveyor was still running.	Maintenance	Moving Machinery	Energy Isolation	FAILED	bypassed	TRUE	HIGH	Energy Isolation	SYNTHETIC
SYN-01103	UNSAFE_CONDITION	a technician applied a personal lock at the utility yard but never verified zero energy state before starting work on the gearbox. Corrective action has been requested.	Maintenance	Stored Energy	LOTO	FAILED	not verified	TRUE	MEDIUM	Energy Isolation	SYNTHETIC
SYN-01104	UNSAFE_CONDITION	Boxes and loose packaging blocking the walkway at the site were reported as a trip hazard by a contractor. Area has since been addressed.	Operations	Slip/Trip		UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01105	NEAR_MISS	a supervisor was seen using a phone while operating a forklift near Building 12, nearly striking a pedestrian at a blind corner.	Driving	Line of Fire	Line of Fire	FAILED	bypassed	TRUE	MEDIUM	Line of Fire	SYNTHETIC
SYN-01106	NEAR_MISS	The conveyor at the field office was stopped, locked out, and verified de-energized before a new hire accessed it to clear a jam.	Maintenance	Moving Machinery	Energy Isolation	EFFECTIVE		FALSE	LOW	Energy Isolation	SYNTHETIC
SYN-01107	UNSAFE_CONDITION	a subcontractor crew climbed into the tank at the maintenance bay to check for residue without any pre-entry gas test, relying only on visual judgment.	Confined Space Work	Toxic Atmosphere	Gas Testing	FAILED	not performed	TRUE	HIGH	Confined Space	SYNTHETIC
SYN-01108	NEAR_MISS	Hot work permit at the east process area required atmosphere testing before cutting a drum; flammable vapor was detected and work stopped until the drum was purged.	Hot Work	Fire	Fire Watch	EFFECTIVE		FALSE	LOW	Hot Work	SYNTHETIC
SYN-01109	UNSAFE_CONDITION	Found an unlabeled chemical drum leaking in the storage area near Building 7, no spill containment present.	Operations			UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01110	UNSAFE_CONDITION	a technician applied a personal lock at the utility yard but never verified zero energy state before starting work on the gearbox.	Maintenance	Stored Energy	LOTO	FAILED	not verified	TRUE	MEDIUM	Energy Isolation	SYNTHETIC
SYN-01111	UNSAFE_CONDITION	Minor paper cut while filing documents at the plant entrance, first aid applied. This has been flagged to the site HSE team.	Operations			UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01112	UNSAFE_CONDITION	Small oil leak noticed under the generator at the tank farm, no spill kit available nearby. This has been flagged to the site HSE team.	Operations			UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01113	UNSAFE_CONDITION	Warehouse shelving at Dock 4 observed leaning and overloaded above the recommended weight limit.	Operations			UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01114	UNSAFE_CONDITION	Forklift forks left raised at head height in the aisle near the loading dock overnight; someone nearly walked into them in the dark. Work was stopped immediately.	Operations			UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01115	UNSAFE_CONDITION	Water fountain leaking near the boiler room, creating a small puddle on the tile floor.	Operations			UNKNOWN		FALSE	NON_SIF		SYNTHETIC
SYN-01116	UNSAFE_CONDITION	An excavation over 5ft deep at the east process area had no shoring or trench box installed while a welder worked inside cutting pipe.	Excavation	Engulfment	Shoring	FAILED	not performed	TRUE	HIGH	Line of Fire	SYNTHETIC
SYN-01117	UNSAFE_CONDITION	a welder worked on a panel believed de-energized at Building 12 without testing with a meter first and received a minor shock touching the bus bar. Work was stopped immediately.	Electrical Work	Electrical Energy	Energy Isolation	FAILED	not verified	TRUE	HIGH	Energy Isolation	SYNTHETIC
SYN-01118	UNSAFE_CONDITION	no harness in use while a contractor worked 3m off the deck at the loading dock, lanyard was left hanging unused.	Work at Height	Fall Hazard	Fall Protection	FAILED	not used	TRUE	HIGH	Working at Height	SYNTHETIC
SYN-01119	NEAR_MISS	Lift plan properly barricaded the exclusion zone under a 1.5-ton suspended load at the field office; a bystander was stopped by the spotter before entering.	Lifting	Suspended Load	Safe Mechanical Lifting	EFFECTIVE		FALSE	LOW	Safe Mechanical Lifting	SYNTHETIC
SYN-01120	UNSAFE_CONDITION	a welder climbed into the tank at Building 7 to check for residue without any pre-entry gas test, relying only on visual judgment. This has been flagged to the site HSE team.	Confined Space Work	Toxic Atmosphere	Gas Testing	FAILED	not performed	TRUE	HIGH	Confined Space	SYNTHETIC
SYN-01121	UNSAFE_CONDITION	Oil residue on the walking surface near the south yard caused a technician to slip slightly, no injury resulted.	Operations	Slip/Trip		UNKNOWN		FALSE	NON_SIF		SYNTHETIC
