id,report_type,report_text,activity,hazard,barrier,barrier_status,barrier_failure,sif_potential,sif_level,life_saving_rule,source_type
SYN-0042,NEAR_MISS,Maintenance activity occurred near equipment and the supervisor recorded the observation. Prototype record 42.,Maintenance,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0043,UNSAFE_CONDITION,Worker stood below a suspended load during crane lifting without barricading. Prototype record 43.,Lifting,Suspended Load,Barricading,FAILED,not used,true,HIGH,Line of Fire,SYNTHETIC
SYN-0044,NEAR_MISS,The designated walkway was cleaned after routine material handling. Prototype record 44.,Material Handling,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0045,NEAR_MISS,Operator bypassed the rotating equipment interlock during operations. Prototype record 45.,Operations,Moving Machinery,Authorization,FAILED,bypassed,true,HIGH,Bypassing Safety Controls,SYNTHETIC
SYN-0046,UNSAFE_CONDITION,Approved lifting plan was reviewed by the competent person before the lift. Prototype record 46.,Lifting,Suspended Load,Lifting Plan,EFFECTIVE,,false,LOW,Safe Mechanical Lifting,SYNTHETIC
SYN-0047,NEAR_MISS,Worker used ladder at height without fall protection. Prototype record 47.,Work at Height,Fall Hazard,Fall Protection,FAILED,not used,true,HIGH,Working at Height,SYNTHETIC
SYN-0048,NEAR_MISS,Energy isolation was verified and documented before scheduled maintenance. Prototype record 48.,Maintenance,Stored Energy,Energy Isolation,EFFECTIVE,,false,LOW,Energy Isolation,SYNTHETIC
SYN-0049,UNSAFE_CONDITION,Technician started maintenance on the pump before energy isolation was verified. Prototype record 49.,Maintenance,Stored Energy,Energy Isolation,FAILED,not verified,true,HIGH,Energy Isolation,SYNTHETIC
SYN-0050,NEAR_MISS,Maintenance activity occurred near equipment and the supervisor recorded the observation. Prototype record 50.,Maintenance,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0051,NEAR_MISS,Worker stood below a suspended load during crane lifting without barricading. Prototype record 51.,Lifting,Suspended Load,Barricading,FAILED,not used,true,HIGH,Line of Fire,SYNTHETIC
SYN-0052,UNSAFE_CONDITION,The designated walkway was cleaned after routine material handling. Prototype record 52.,Material Handling,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0053,NEAR_MISS,Operator bypassed the rotating equipment interlock during operations. Prototype record 53.,Operations,Moving Machinery,Authorization,FAILED,bypassed,true,HIGH,Bypassing Safety Controls,SYNTHETIC
SYN-0054,NEAR_MISS,Approved lifting plan was reviewed by the competent person before the lift. Prototype record 54.,Lifting,Suspended Load,Lifting Plan,EFFECTIVE,,false,LOW,Safe Mechanical Lifting,SYNTHETIC
SYN-0055,UNSAFE_CONDITION,Worker used ladder at height without fall protection. Prototype record 55.,Work at Height,Fall Hazard,Fall Protection,FAILED,not used,true,HIGH,Working at Height,SYNTHETIC
SYN-0056,NEAR_MISS,Energy isolation was verified and documented before scheduled maintenance. Prototype record 56.,Maintenance,Stored Energy,Energy Isolation,EFFECTIVE,,false,LOW,Energy Isolation,SYNTHETIC
SYN-0057,NEAR_MISS,Technician started maintenance on the pump before energy isolation was verified. Prototype record 57.,Maintenance,Stored Energy,Energy Isolation,FAILED,not verified,true,HIGH,Energy Isolation,SYNTHETIC
SYN-0058,UNSAFE_CONDITION,Maintenance activity occurred near equipment and the supervisor recorded the observation. Prototype record 58.,Maintenance,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0059,NEAR_MISS,Worker stood below a suspended load during crane lifting without barricading. Prototype record 59.,Lifting,Suspended Load,Barricading,FAILED,not used,true,HIGH,Line of Fire,SYNTHETIC
SYN-0060,NEAR_MISS,The designated walkway was cleaned after routine material handling. Prototype record 60.,Material Handling,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0061,UNSAFE_CONDITION,Operator bypassed the rotating equipment interlock during operations. Prototype record 61.,Operations,Moving Machinery,Authorization,FAILED,bypassed,true,HIGH,Bypassing Safety Controls,SYNTHETIC
SYN-0062,NEAR_MISS,Approved lifting plan was reviewed by the competent person before the lift. Prototype record 62.,Lifting,Suspended Load,Lifting Plan,EFFECTIVE,,false,LOW,Safe Mechanical Lifting,SYNTHETIC
SYN-0063,NEAR_MISS,Worker used ladder at height without fall protection. Prototype record 63.,Work at Height,Fall Hazard,Fall Protection,FAILED,not used,true,HIGH,Working at Height,SYNTHETIC
SYN-0064,UNSAFE_CONDITION,Energy isolation was verified and documented before scheduled maintenance. Prototype record 64.,Maintenance,Stored Energy,Energy Isolation,EFFECTIVE,,false,LOW,Energy Isolation,SYNTHETIC
SYN-0065,NEAR_MISS,Technician started maintenance on the pump before energy isolation was verified. Prototype record 65.,Maintenance,Stored Energy,Energy Isolation,FAILED,not verified,true,HIGH,Energy Isolation,SYNTHETIC
SYN-0066,NEAR_MISS,Maintenance activity occurred near equipment and the supervisor recorded the observation. Prototype record 66.,Maintenance,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0067,UNSAFE_CONDITION,Worker stood below a suspended load during crane lifting without barricading. Prototype record 67.,Lifting,Suspended Load,Barricading,FAILED,not used,true,HIGH,Line of Fire,SYNTHETIC
SYN-0068,NEAR_MISS,The designated walkway was cleaned after routine material handling. Prototype record 68.,Material Handling,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0069,NEAR_MISS,Operator bypassed the rotating equipment interlock during operations. Prototype record 69.,Operations,Moving Machinery,Authorization,FAILED,bypassed,true,HIGH,Bypassing Safety Controls,SYNTHETIC
SYN-0070,UNSAFE_CONDITION,Approved lifting plan was reviewed by the competent person before the lift. Prototype record 70.,Lifting,Suspended Load,Lifting Plan,EFFECTIVE,,false,LOW,Safe Mechanical Lifting,SYNTHETIC
SYN-0071,NEAR_MISS,Worker used ladder at height without fall protection. Prototype record 71.,Work at Height,Fall Hazard,Fall Protection,FAILED,not used,true,HIGH,Working at Height,SYNTHETIC
SYN-0072,NEAR_MISS,Energy isolation was verified and documented before scheduled maintenance. Prototype record 72.,Maintenance,Stored Energy,Energy Isolation,EFFECTIVE,,false,LOW,Energy Isolation,SYNTHETIC
SYN-0073,UNSAFE_CONDITION,Technician started maintenance on the pump before energy isolation was verified. Prototype record 73.,Maintenance,Stored Energy,Energy Isolation,FAILED,not verified,true,HIGH,Energy Isolation,SYNTHETIC
SYN-0074,NEAR_MISS,Maintenance activity occurred near equipment and the supervisor recorded the observation. Prototype record 74.,Maintenance,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0075,NEAR_MISS,Worker stood below a suspended load during crane lifting without barricading. Prototype record 75.,Lifting,Suspended Load,Barricading,FAILED,not used,true,HIGH,Line of Fire,SYNTHETIC
SYN-0076,UNSAFE_CONDITION,The designated walkway was cleaned after routine material handling. Prototype record 76.,Material Handling,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0077,NEAR_MISS,Operator bypassed the rotating equipment interlock during operations. Prototype record 77.,Operations,Moving Machinery,Authorization,FAILED,bypassed,true,HIGH,Bypassing Safety Controls,SYNTHETIC
SYN-0078,NEAR_MISS,Approved lifting plan was reviewed by the competent person before the lift. Prototype record 78.,Lifting,Suspended Load,Lifting Plan,EFFECTIVE,,false,LOW,Safe Mechanical Lifting,SYNTHETIC
SYN-0079,UNSAFE_CONDITION,Worker used ladder at height without fall protection. Prototype record 79.,Work at Height,Fall Hazard,Fall Protection,FAILED,not used,true,HIGH,Working at Height,SYNTHETIC
SYN-0080,NEAR_MISS,Energy isolation was verified and documented before scheduled maintenance. Prototype record 80.,Maintenance,Stored Energy,Energy Isolation,EFFECTIVE,,false,LOW,Energy Isolation,SYNTHETIC
SYN-0081,NEAR_MISS,Technician started maintenance on the pump before energy isolation was verified. Prototype record 81.,Maintenance,Stored Energy,Energy Isolation,FAILED,not verified,true,HIGH,Energy Isolation,SYNTHETIC
SYN-0082,UNSAFE_CONDITION,Maintenance activity occurred near equipment and the supervisor recorded the observation. Prototype record 82.,Maintenance,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0083,NEAR_MISS,Worker stood below a suspended load during crane lifting without barricading. Prototype record 83.,Lifting,Suspended Load,Barricading,FAILED,not used,true,HIGH,Line of Fire,SYNTHETIC
SYN-0084,NEAR_MISS,The designated walkway was cleaned after routine material handling. Prototype record 84.,Material Handling,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0085,UNSAFE_CONDITION,Operator bypassed the rotating equipment interlock during operations. Prototype record 85.,Operations,Moving Machinery,Authorization,FAILED,bypassed,true,HIGH,Bypassing Safety Controls,SYNTHETIC
SYN-0086,NEAR_MISS,Approved lifting plan was reviewed by the competent person before the lift. Prototype record 86.,Lifting,Suspended Load,Lifting Plan,EFFECTIVE,,false,LOW,Safe Mechanical Lifting,SYNTHETIC
SYN-0087,NEAR_MISS,Worker used ladder at height without fall protection. Prototype record 87.,Work at Height,Fall Hazard,Fall Protection,FAILED,not used,true,HIGH,Working at Height,SYNTHETIC
SYN-0088,UNSAFE_CONDITION,Energy isolation was verified and documented before scheduled maintenance. Prototype record 88.,Maintenance,Stored Energy,Energy Isolation,EFFECTIVE,,false,LOW,Energy Isolation,SYNTHETIC
SYN-0089,NEAR_MISS,Technician started maintenance on the pump before energy isolation was verified. Prototype record 89.,Maintenance,Stored Energy,Energy Isolation,FAILED,not verified,true,HIGH,Energy Isolation,SYNTHETIC
SYN-0090,NEAR_MISS,Maintenance activity occurred near equipment and the supervisor recorded the observation. Prototype record 90.,Maintenance,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0091,UNSAFE_CONDITION,Worker stood below a suspended load during crane lifting without barricading. Prototype record 91.,Lifting,Suspended Load,Barricading,FAILED,not used,true,HIGH,Line of Fire,SYNTHETIC
SYN-0092,NEAR_MISS,The designated walkway was cleaned after routine material handling. Prototype record 92.,Material Handling,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0093,NEAR_MISS,Operator bypassed the rotating equipment interlock during operations. Prototype record 93.,Operations,Moving Machinery,Authorization,FAILED,bypassed,true,HIGH,Bypassing Safety Controls,SYNTHETIC
SYN-0094,UNSAFE_CONDITION,Approved lifting plan was reviewed by the competent person before the lift. Prototype record 94.,Lifting,Suspended Load,Lifting Plan,EFFECTIVE,,false,LOW,Safe Mechanical Lifting,SYNTHETIC
SYN-0095,NEAR_MISS,Worker used ladder at height without fall protection. Prototype record 95.,Work at Height,Fall Hazard,Fall Protection,FAILED,not used,true,HIGH,Working at Height,SYNTHETIC
SYN-0096,NEAR_MISS,Energy isolation was verified and documented before scheduled maintenance. Prototype record 96.,Maintenance,Stored Energy,Energy Isolation,EFFECTIVE,,false,LOW,Energy Isolation,SYNTHETIC
SYN-0097,UNSAFE_CONDITION,Technician started maintenance on the pump before energy isolation was verified. Prototype record 97.,Maintenance,Stored Energy,Energy Isolation,FAILED,not verified,true,HIGH,Energy Isolation,SYNTHETIC
SYN-0098,NEAR_MISS,Maintenance activity occurred near equipment and the supervisor recorded the observation. Prototype record 98.,Maintenance,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0099,NEAR_MISS,Worker stood below a suspended load during crane lifting without barricading. Prototype record 99.,Lifting,Suspended Load,Barricading,FAILED,not used,true,HIGH,Line of Fire,SYNTHETIC
SYN-0100,UNSAFE_CONDITION,The designated walkway was cleaned after routine material handling. Prototype record 100.,Material Handling,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0101,NEAR_MISS,Operator bypassed the rotating equipment interlock during operations. Prototype record 101.,Operations,Moving Machinery,Authorization,FAILED,bypassed,true,HIGH,Bypassing Safety Controls,SYNTHETIC
SYN-0102,NEAR_MISS,Approved lifting plan was reviewed by the competent person before the lift. Prototype record 102.,Lifting,Suspended Load,Lifting Plan,EFFECTIVE,,false,LOW,Safe Mechanical Lifting,SYNTHETIC
SYN-0103,UNSAFE_CONDITION,Worker used ladder at height without fall protection. Prototype record 103.,Work at Height,Fall Hazard,Fall Protection,FAILED,not used,true,HIGH,Working at Height,SYNTHETIC
SYN-0104,NEAR_MISS,Energy isolation was verified and documented before scheduled maintenance. Prototype record 104.,Maintenance,Stored Energy,Energy Isolation,EFFECTIVE,,false,LOW,Energy Isolation,SYNTHETIC
SYN-0105,NEAR_MISS,Technician started maintenance on the pump before energy isolation was verified. Prototype record 105.,Maintenance,Stored Energy,Energy Isolation,FAILED,not verified,true,HIGH,Energy Isolation,SYNTHETIC
SYN-0106,UNSAFE_CONDITION,Maintenance activity occurred near equipment and the supervisor recorded the observation. Prototype record 106.,Maintenance,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0107,NEAR_MISS,Worker stood below a suspended load during crane lifting without barricading. Prototype record 107.,Lifting,Suspended Load,Barricading,FAILED,not used,true,HIGH,Line of Fire,SYNTHETIC
SYN-0108,NEAR_MISS,The designated walkway was cleaned after routine material handling. Prototype record 108.,Material Handling,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0109,UNSAFE_CONDITION,Operator bypassed the rotating equipment interlock during operations. Prototype record 109.,Operations,Moving Machinery,Authorization,FAILED,bypassed,true,HIGH,Bypassing Safety Controls,SYNTHETIC
SYN-0110,NEAR_MISS,Approved lifting plan was reviewed by the competent person before the lift. Prototype record 110.,Lifting,Suspended Load,Lifting Plan,EFFECTIVE,,false,LOW,Safe Mechanical Lifting,SYNTHETIC
SYN-0111,NEAR_MISS,Worker used ladder at height without fall protection. Prototype record 111.,Work at Height,Fall Hazard,Fall Protection,FAILED,not used,true,HIGH,Working at Height,SYNTHETIC
SYN-0112,UNSAFE_CONDITION,Energy isolation was verified and documented before scheduled maintenance. Prototype record 112.,Maintenance,Stored Energy,Energy Isolation,EFFECTIVE,,false,LOW,Energy Isolation,SYNTHETIC
SYN-0113,NEAR_MISS,Technician started maintenance on the pump before energy isolation was verified. Prototype record 113.,Maintenance,Stored Energy,Energy Isolation,FAILED,not verified,true,HIGH,Energy Isolation,SYNTHETIC
SYN-0114,NEAR_MISS,Maintenance activity occurred near equipment and the supervisor recorded the observation. Prototype record 114.,Maintenance,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0115,UNSAFE_CONDITION,Worker stood below a suspended load during crane lifting without barricading. Prototype record 115.,Lifting,Suspended Load,Barricading,FAILED,not used,true,HIGH,Line of Fire,SYNTHETIC
SYN-0116,NEAR_MISS,The designated walkway was cleaned after routine material handling. Prototype record 116.,Material Handling,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0117,NEAR_MISS,Operator bypassed the rotating equipment interlock during operations. Prototype record 117.,Operations,Moving Machinery,Authorization,FAILED,bypassed,true,HIGH,Bypassing Safety Controls,SYNTHETIC
SYN-0118,UNSAFE_CONDITION,Approved lifting plan was reviewed by the competent person before the lift. Prototype record 118.,Lifting,Suspended Load,Lifting Plan,EFFECTIVE,,false,LOW,Safe Mechanical Lifting,SYNTHETIC
SYN-0119,NEAR_MISS,Worker used ladder at height without fall protection. Prototype record 119.,Work at Height,Fall Hazard,Fall Protection,FAILED,not used,true,HIGH,Working at Height,SYNTHETIC
SYN-0120,NEAR_MISS,Energy isolation was verified and documented before scheduled maintenance. Prototype record 120.,Maintenance,Stored Energy,Energy Isolation,EFFECTIVE,,false,LOW,Energy Isolation,SYNTHETIC
SYN-0121,UNSAFE_CONDITION,Technician started maintenance on the pump before energy isolation was verified. Prototype record 121.,Maintenance,Stored Energy,Energy Isolation,FAILED,not verified,true,HIGH,Energy Isolation,SYNTHETIC
SYN-0122,NEAR_MISS,Maintenance activity occurred near equipment and the supervisor recorded the observation. Prototype record 122.,Maintenance,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0123,NEAR_MISS,Worker stood below a suspended load during crane lifting without barricading. Prototype record 123.,Lifting,Suspended Load,Barricading,FAILED,not used,true,HIGH,Line of Fire,SYNTHETIC
SYN-0124,UNSAFE_CONDITION,The designated walkway was cleaned after routine material handling. Prototype record 124.,Material Handling,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0125,NEAR_MISS,Operator bypassed the rotating equipment interlock during operations. Prototype record 125.,Operations,Moving Machinery,Authorization,FAILED,bypassed,true,HIGH,Bypassing Safety Controls,SYNTHETIC
SYN-0126,NEAR_MISS,Approved lifting plan was reviewed by the competent person before the lift. Prototype record 126.,Lifting,Suspended Load,Lifting Plan,EFFECTIVE,,false,LOW,Safe Mechanical Lifting,SYNTHETIC
SYN-0127,UNSAFE_CONDITION,Worker used ladder at height without fall protection. Prototype record 127.,Work at Height,Fall Hazard,Fall Protection,FAILED,not used,true,HIGH,Working at Height,SYNTHETIC
SYN-0128,NEAR_MISS,Energy isolation was verified and documented before scheduled maintenance. Prototype record 128.,Maintenance,Stored Energy,Energy Isolation,EFFECTIVE,,false,LOW,Energy Isolation,SYNTHETIC
SYN-0129,NEAR_MISS,Technician started maintenance on the pump before energy isolation was verified. Prototype record 129.,Maintenance,Stored Energy,Energy Isolation,FAILED,not verified,true,HIGH,Energy Isolation,SYNTHETIC
SYN-0130,UNSAFE_CONDITION,Maintenance activity occurred near equipment and the supervisor recorded the observation. Prototype record 130.,Maintenance,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0131,NEAR_MISS,Worker stood below a suspended load during crane lifting without barricading. Prototype record 131.,Lifting,Suspended Load,Barricading,FAILED,not used,true,HIGH,Line of Fire,SYNTHETIC
SYN-0132,NEAR_MISS,The designated walkway was cleaned after routine material handling. Prototype record 132.,Material Handling,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0133,UNSAFE_CONDITION,Operator bypassed the rotating equipment interlock during operations. Prototype record 133.,Operations,Moving Machinery,Authorization,FAILED,bypassed,true,HIGH,Bypassing Safety Controls,SYNTHETIC
SYN-0134,NEAR_MISS,Approved lifting plan was reviewed by the competent person before the lift. Prototype record 134.,Lifting,Suspended Load,Lifting Plan,EFFECTIVE,,false,LOW,Safe Mechanical Lifting,SYNTHETIC
SYN-0135,NEAR_MISS,Worker used ladder at height without fall protection. Prototype record 135.,Work at Height,Fall Hazard,Fall Protection,FAILED,not used,true,HIGH,Working at Height,SYNTHETIC
SYN-0136,UNSAFE_CONDITION,Energy isolation was verified and documented before scheduled maintenance. Prototype record 136.,Maintenance,Stored Energy,Energy Isolation,EFFECTIVE,,false,LOW,Energy Isolation,SYNTHETIC
SYN-0137,NEAR_MISS,Technician started maintenance on the pump before energy isolation was verified. Prototype record 137.,Maintenance,Stored Energy,Energy Isolation,FAILED,not verified,true,HIGH,Energy Isolation,SYNTHETIC
SYN-0138,NEAR_MISS,Maintenance activity occurred near equipment and the supervisor recorded the observation. Prototype record 138.,Maintenance,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0139,UNSAFE_CONDITION,Worker stood below a suspended load during crane lifting without barricading. Prototype record 139.,Lifting,Suspended Load,Barricading,FAILED,not used,true,HIGH,Line of Fire,SYNTHETIC
SYN-0140,NEAR_MISS,The designated walkway was cleaned after routine material handling. Prototype record 140.,Material Handling,,,UNKNOWN,,false,NON_SIF,,SYNTHETIC
SYN-0141,NEAR_MISS,Operator bypassed the rotating equipment interlock during operations. Prototype record 141.,Operations,Moving Machinery,Authorization,FAILED,bypassed,true,HIGH,Bypassing Safety Controls,SYNTHETIC
SYN-0142,UNSAFE_CONDITION,Approved lifting plan was reviewed by the competent person before the lift. Prototype record 142.,Lifting,Suspended Load,Lifting Plan,EFFECTIVE,,false,LOW,Safe Mechanical Lifting,SYNTHETIC
SYN-0143,NEAR_MISS,Worker used ladder at height without fall protection. Prototype record 143.,Work at Height,Fall Hazard,Fall Protection,FAILED,not used,true,HIGH,Working at Height,SYNTHETIC
